Transaction_ID,Desk,Instrument,Counterparty,Trade_Date,Settlement_Date,Face_Value,Trade_Price,Yield,Duration,Mark_to_Market,PnL_Daily,VaR_1Day,Modified_Duration,Convexity,Trade_Type,Portfolio,Trader_ID,Desk_Limit_Used,Regulatory_Flag
TXN032,Money Market,CPs,Axis Bank,2024-02-19,2024-02-21,85000000,97.40,8.20,1.50,-1280000,-315000,935000,1.38,1.93,Sell,HFT,TR02,88%,FIMMDA Reported
TXN033,Money Market,CDs,Goldman Sachs,2024-03-28,2024-04-01,65000000,98.30,7.90,2.00,1950000,290000,780000,1.85,3.45,Buy,AFS,TR01,57%,Clean
TXN034,Money Market,T-Bills,RBI,2024-05-15,2024-05-17,30000000,95.00,7.05,0.58,-450000,-112000,54000,0.54,0.30,Sell,HFT,TR05,73%,Clean
TXN035,Money Market,CPs,HDFC Bank,2024-07-10,2024-07-12,50000000,97.10,8.40,1.30,1250000,352000,550000,1.20,1.46,Buy,HFT,TR08,82%,FIMMDA Reported
TXN036,Money Market,CDs,SBI,2024-09-22,2024-09-24,110000000,98.60,7.80,2.50,-2750000,-348000,1320000,2.31,5.42,Hold,AFS,TR03,49%,Clean
TXN037,Corporate Bonds,CPs,HDFC Bank,2023-01-20,2023-01-23,75000000,97.20,8.50,2.30,1650000,245000,825000,2.12,4.58,Buy,AFS,TR06,53%,Clean
TXN038,Corporate Bonds,CDs,ICICI Bank,2023-02-28,2023-03-02,100000000,98.40,8.10,3.50,-2800000,-320000,1200000,3.23,11.18,Sell,AFS,TR09,68%,Clean
TXN039,Corporate Bonds,CPs,JP Morgan,2023-03-15,2023-03-17,50000000,96.80,8.75,1.80,1200000,356000,525000,1.66,2.82,Buy,HFT,TR04,87%,FIMMDA Reported
TXN040,Corporate Bonds,CDs,Goldman Sachs,2023-04-22,2023-04-25,80000000,97.90,8.30,4.20,2800000,312000,960000,3.87,16.13,Buy,AFS,TR07,48%,Clean
TXN041,Corporate Bonds,CPs,Kotak,2023-05-30,2023-06-01,40000000,96.50,8.90,1.50,-750000,-285000,420000,1.38,1.93,Sell,HFT,TR10,79%,Clean
TXN042,Corporate Bonds,CDs,Axis Bank,2023-07-06,2023-07-10,120000000,98.20,8.15,5.80,4200000,395000,1440000,5.35,29.38,Hold,AFS,TR02,62%,Clean
TXN043,Corporate Bonds,CPs,SBI,2023-08-14,2023-08-16,60000000,97.10,8.60,2.00,-1500000,-420000,660000,1.84,3.45,Sell,HFT,TR05,92%,FIMMDA Reported
TXN044,Corporate Bonds,CDs,HDFC Bank,2023-09-25,2023-09-27,90000000,98.70,7.95,7.20,3800000,285000,1080000,6.64,47.88,Buy,HTM,TR08,41%,Clean
TXN045,Corporate Bonds,CPs,JP Morgan,2023-11-07,2023-11-09,45000000,97.40,8.35,1.80,1100000,368000,472500,1.66,2.82,Buy,HFT,TR01,75%,Clean
TXN046,Corporate Bonds,CDs,Goldman Sachs,2024-01-15,2024-01-17,110000000,97.60,8.20,6.50,-4200000,-358000,1320000,5.99,38.94,Sell,AFS,TR09,58%,Clean
TXN047,Corporate Bonds,CPs,ICICI Bank,2024-02-26,2024-02-28,35000000,96.90,8.70,1.30,875000,312000,367500,1.20,1.46,Buy,HFT,TR03,84%,FIMMDA Reported
TXN048,Corporate Bonds,CDs,Axis Bank,2024-04-08,2024-04-10,150000000,98.10,8.05,8.80,5500000,420000,1800000,8.11,66.95,Buy,HTM,TR06,46%,Clean
TXN049,Corporate Bonds,CPs,SBI,2024-06-19,2024-06-21,55000000,97.30,8.45,2.50,-1375000,-385000,577500,2.31,5.42,Sell,HFT,TR04,88%,FIMMDA Reported
TXN050,Corporate Bonds,CDs,Kotak,2024-08-05,2024-08-07,80000000,98.50,8.00,4.80,2800000,298000,960000,4.42,21.25,Hold,AFS,TR10,55%,Clean
TXN051,Corporate Bonds,CPs,JP Morgan,2024-10-14,2024-10-16,30000000,97.00,8.65,1.50,-750000,-295000,315000,1.38,1.93,Buy,HFT,TR07,70%,Clean
TXN052,Corporate Bonds,CDs,Goldman Sachs,2024-12-03,2024-12-05,70000000,98.30,8.10,3.20,1960000,248000,840000,2.95,8.89,Sell,AFS,TR02,63%,Clean
TXN053,Derivatives,Interest Rate Swaps,HDFC Bank,2023-01-16,2023-01-18,200000000,100.00,7.50,5.80,4800000,425000,1800000,5.39,29.92,Buy,AFS,TR05,58%,FIMMDA Reported
TXN054,Derivatives,Interest Rate Swaps,Goldman Sachs,2023-02-17,2023-02-21,150000000,100.00,7.80,3.50,-3200000,-520000,1350000,3.23,11.18,Sell,HFT,TR09,82%,FIMMDA Reported
TXN055,Derivatives,Interest Rate Swaps,JP Morgan,2023-03-22,2023-03-24,300000000,100.00,7.25,8.20,9600000,385000,2850000,7.69,60.78,Buy,AFS,TR01,47%,FIMMDA Reported
TXN056,Derivatives,Interest Rate Swaps,SBI,2023-05-08,2023-05-10,100000000,100.00,8.00,2.50,-2500000,-685000,900000,2.31,5.42,Sell,HFT,TR06,93%,FIMMDA Reported
TXN057,Derivatives,Interest Rate Swaps,ICICI Bank,2023-06-20,2023-06-22,250000000,100.00,7.40,10.50,8750000,320000,2500000,9.77,102.65,Buy,HTM,TR03,55%,FIMMDA Reported
TXN058,Derivatives,Interest Rate Swaps,Axis Bank,2023-07-31,2023-08-02,80000000,100.00,7.65,4.20,-2560000,-445000,720000,3.87,16.13,Hold,AFS,TR07,69%,FIMMDA Reported
TXN059,Derivatives,Interest Rate Swaps,Kotak,2023-09-12,2023-09-14,180000000,100.00,8.10,6.80,5400000,495000,1620000,6.29,40.32,Buy,AFS,TR10,61%,FIMMDA Reported
TXN060,Derivatives,Interest Rate Swaps,Goldman Sachs,2023-10-24,2023-10-26,120000000,100.00,7.55,12.30,-7200000,-385000,1200000,11.41,132.12,Sell,HTM,TR04,73%,FIMMDA Reported
TXN061,Derivatives,Interest Rate Swaps,JP Morgan,2023-11-30,2023-12-02,350000000,100.00,7.30,9.50,10500000,625000,3500000,8.85,79.82,Buy,AFS,TR08,44%,FIMMDA Reported
TXN062,Derivatives,Interest Rate Swaps,HDFC Bank,2024-01-25,2024-01-29,200000000,100.00,7.90,3.80,-6000000,-725000,1800000,3.51,12.60,Sell,HFT,TR02,87%,FIMMDA Reported
TXN063,Derivatives,Interest Rate Swaps,SBI,2024-03-07,2024-03-11,150000000,100.00,7.45,7.50,6000000,415000,1500000,6.98,49.68,Buy,AFS,TR05,52%,FIMMDA Reported
TXN064,Derivatives,Interest Rate Swaps,ICICI Bank,2024-05-16,2024-05-20,90000000,100.00,8.20,5.20,-2700000,-595000,810000,4.81,23.62,Sell,HFT,TR09,89%,FIMMDA Reported
TXN065,Derivatives,Interest Rate Swaps,Kotak,2024-07-22,2024-07-24,275000000,100.00,7.35,14.00,9625000,485000,2750000,13.03,172.24,Buy,HTM,TR01,48%,FIMMDA Reported
TXN066,Derivatives,Interest Rate Swaps,Goldman Sachs,2024-09-03,2024-09-05,130000000,100.00,7.70,6.50,-3900000,-568000,1170000,6.03,37.02,Hold,AFS,TR07,65%,FIMMDA Reported
TXN067,Derivatives,Interest Rate Swaps,JP Morgan,2024-10-28,2024-10-30,220000000,100.00,7.55,11.80,8800000,352000,2200000,10.97,122.42,Buy,HTM,TR03,57%,FIMMDA Reported
TXN068,Derivatives,Interest Rate Swaps,Axis Bank,2024-12-10,2024-12-12,160000000,100.00,8.00,4.50,-4800000,-612000,1440000,4.17,17.63,Sell,HFT,TR06,91%,FIMMDA Reported
TXN069,Forex,USD/INR,Goldman Sachs,2023-01-09,2023-01-10,150000000,82.45,4.50,0.50,2250000,485000,225000,0.48,0.22,Buy,HFT,TR08,65%,Clean
TXN070,Forex,EUR/INR,JP Morgan,2023-02-06,2023-02-07,200000000,89.20,5.20,0.50,-4000000,-625000,300000,0.48,0.22,Sell,HFT,TR04,78%,Clean
TXN071,Forex,USD/INR,Goldman Sachs,2023-03-17,2023-03-20,100000000,82.90,4.75,0.50,1500000,395000,150000,0.48,0.22,Buy,HFT,TR09,55%,Clean
TXN072,Forex,EUR/INR,JP Morgan,2023-04-27,2023-04-28,250000000,90.15,5.45,0.50,-3750000,-785000,375000,0.48,0.22,Sell,HFT,TR02,82%,FIMMDA Reported
TXN073,Forex,USD/INR,SBI,2023-06-14,2023-06-15,180000000,83.20,4.80,0.50,2700000,562000,270000,0.48,0.22,Buy,HFT,TR07,48%,Clean
TXN074,Forex,EUR/INR,HDFC Bank,2023-07-25,2023-07-26,120000000,91.05,5.60,0.50,-1800000,-445000,180000,0.48,0.22,Hold,HFT,TR05,71%,Clean
TXN075,Forex,USD/INR,Goldman Sachs,2023-09-05,2023-09-06,300000000,83.55,4.90,0.50,4500000,875000,450000,0.48,0.22,Buy,HFT,TR01,86%,FIMMDA Reported
TXN076,Forex,EUR/INR,JP Morgan,2023-10-18,2023-10-19,80000000,91.80,5.75,0.50,-2400000,-548000,120000,0.48,0.22,Sell,HFT,TR10,62%,Clean
TXN077,Forex,USD/INR,ICICI Bank,2023-12-01,2023-12-04,175000000,84.10,5.00,0.50,2625000,612000,262500,0.48,0.22,Buy,HFT,TR03,57%,Clean
TXN078,Forex,EUR/INR,Goldman Sachs,2024-01-30,2024-01-31,220000000,90.80,5.40,0.50,-5500000,-815000,330000,0.48,0.22,Sell,HFT,TR08,79%,Clean
TXN079,Forex,USD/INR,JP Morgan,2024-03-21,2024-03-22,140000000,83.75,4.85,0.50,2100000,528000,210000,0.48,0.22,Buy,HFT,TR04,68%,Clean
TXN080,Forex,EUR/INR,SBI,2024-05-28,2024-05-29,160000000,92.30,5.85,0.50,-4800000,-695000,240000,0.48,0.22,Sell,HFT,TR09,83%,FIMMDA Reported
TXN081,Forex,USD/INR,HDFC Bank,2024-08-07,2024-08-08,200000000,84.20,5.10,0.50,3000000,748000,300000,0.48,0.22,Buy,HFT,TR06,74%,Clean
TXN082,Forex,EUR/INR,Goldman Sachs,2024-10-15,2024-10-16,100000000,91.50,5.55,0.50,-2500000,-558000,150000,0.48,0.22,Hold,HFT,TR02,59%,Clean
TXN083,Equity,CDs,Kotak,2023-01-30,2023-02-01,60000000,98.20,8.20,3.50,1800000,425000,720000,3.23,11.18,Buy,AFS,TR10,54%,Clean
TXN084,Equity,T-Bills,RBI,2023-02-22,2023-02-24,40000000,94.90,7.10,0.67,600000,285000,72000,0.63,0.40,Sell,HFT,TR07,77%,Clean
TXN085,Equity,CDs,Goldman Sachs,2023-03-28,2023-03-30,85000000,97.80,8.35,4.20,-2975000,-485000,1020000,3.87,16.13,Buy,AFS,TR01,61%,Clean
TXN086,Equity,T-Bills,RBI,2023-05-04,2023-05-08,30000000,95.30,6.95,0.92,450000,198000,54000,0.86,0.72,Buy,HFT,TR08,46%,Clean
TXN087,Equity,CDs,HDFC Bank,2023-06-15,2023-06-19,110000000,98.60,8.00,5.50,3850000,352000,1320000,5.08,26.23,Hold,AFS,TR04,65%,Clean
TXN088,Equity,CDs,JP Morgan,2023-07-27,2023-07-31,75000000,97.50,8.45,7.80,-3750000,-412000,900000,7.19,52.64,Buy,HTM,TR09,43%,Clean
TXN089,Equity,T-Bills,RBI,2023-09-11,2023-09-13,25000000,94.70,7.05,0.75,375000,165000,45000,0.70,0.52,Sell,HFT,TR05,82%,FIMMDA Reported
TXN090,Equity,CDs,Axis Bank,2023-10-23,2023-10-25,90000000,98.30,8.15,3.80,-2700000,-398000,1080000,3.51,12.60,Buy,AFS,TR02,57%,Clean
TXN091,Equity,CDs,Goldman Sachs,2023-12-05,2023-12-07,130000000,97.90,8.30,6.20,5200000,388000,1560000,5.72,33.55,Buy,AFS,TR10,48%,Clean
TXN092,Equity,T-Bills,RBI,2024-02-08,2024-02-12,45000000,95.50,6.80,0.83,675000,225000,81000,0.78,0.62,Buy,HFT,TR06,69%,Clean
TXN093,Equity,CDs,ICICI Bank,2024-03-19,2024-03-21,70000000,98.10,8.25,4.50,-2450000,-365000,840000,4.15,17.55,Sell,AFS,TR03,73%,Clean
TXN094,Equity,CDs,SBI,2024-04-30,2024-05-02,95000000,98.40,8.05,9.20,4275000,342000,1140000,8.49,73.35,Buy,HTM,TR07,40%,Clean
TXN095,Equity,T-Bills,RBI,2024-06-11,2024-06-13,35000000,95.20,7.00,0.58,525000,195000,63000,0.54,0.30,Hold,HFT,TR01,66%,Clean
TXN096,Equity,CDs,Goldman Sachs,2024-07-22,2024-07-24,80000000,97.70,8.40,5.80,-3200000,-428000,960000,5.35,29.38,Buy,AFS,TR04,79%,Clean
TXN097,Equity,CDs,JP Morgan,2024-08-27,2024-08-29,115000000,98.50,8.10,7.50,4025000,375000,1380000,6.92,48.60,Sell,AFS,TR08,52%,Clean
TXN098,Equity,T-Bills,RBI,2024-09-16,2024-09-18,20000000,95.80,6.75,0.75,-300000,-148000,36000,0.70,0.52,Sell,HFT,TR05,72%,Clean
TXN099,Equity,CDs,Kotak,2024-10-24,2024-10-28,100000000,97.80,8.35,4.20,5000000,315000,1200000,3.87,16.13,Buy,AFS,TR09,56%,Clean
TXN100,Equity,CDs,HDFC Bank,2024-11-18,2024-11-20,150000000,98.70,8.00,8.50,-5250000,-445000,1800000,7.84,65.97,Hold,HTM,TR03,45%,Clean
